 minimum eigenvalues =  0.20280641186861459 0.21941481797189319 0.22985457885597677
 maximum eigenvalues =  3225.384472640475 481.72765559786103 350.03170853490155
 num eigs kept =  63
 iter     1 lrate =  0.0500000000 LL =  -1.8623230418 nd =  0.0413469210, D =   0.16978E-01  0.16978E-01  (  5.93 s,   3.3 h)
 iter    41 lrate =  0.0500000000 LL =  -1.8052307320 nd =  0.0071929179, D =   0.14801E+00  0.14801E+00  (  3.54 s,   1.9 h)
 iter    42 lrate =  0.0500000000 LL =  -1.8050352356 nd =  0.0071994736, D =   0.15049E+00  0.15049E+00  (  3.19 s,   1.7 h)
 iter    43 lrate =  0.0500000000 LL =  -1.8048398503 nd =  0.0072041143, D =   0.15292E+00  0.15292E+00  (  3.15 s,   1.7 h)
 iter    44 lrate =  0.0500000000 LL =  -1.8046450265 nd =  0.0072075283, D =   0.15533E+00  0.15533E+00  (  3.27 s,   1.8 h)
 iter    45 lrate =  0.0500000000 LL =  -1.8044499332 nd =  0.0072092587, D =   0.15770E+00  0.15770E+00  (  3.31 s,   1.8 h)
 iter    46 lrate =  0.0500000000 LL =  -1.8042556592 nd =  0.0072099737, D =   0.16005E+00  0.16005E+00  (  3.19 s,   1.7 h)
 iter    47 lrate =  0.0500000000 LL =  -1.8040621676 nd =  0.0072083555, D =   0.16237E+00  0.16237E+00  (  3.16 s,   1.7 h)
 iter    48 lrate =  0.0500000000 LL =  -1.8038697298 nd =  0.0072044709, D =   0.16465E+00  0.16465E+00  (  3.16 s,   1.7 h)
 iter    49 lrate =  0.0500000000 LL =  -1.8036778442 nd =  0.0071998417, D =   0.16692E+00  0.16692E+00  (  3.18 s,   1.7 h)
 iter    50 lrate =  0.0500000000 LL =  -1.8034868590 nd =  0.0048839043, D =   0.16916E+00  0.16916E+00  (  3.36 s,   1.8 h)
 iter    51 lrate =  0.1000000000 LL =  -1.8032543808 nd =  0.0048067560, D =   0.16799E+00  0.16799E+00  (  3.34 s,   1.8 h)
 iter    52 lrate =  0.2000000000 LL =  -1.8028243593 nd =  0.0046573482, D =   0.16586E+00  0.16586E+00  (  3.27 s,   1.8 h)
 iter    53 lrate =  0.3000000000 LL =  -1.8022236325 nd =  0.0044252688, D =   0.16326E+00  0.16326E+00  (  3.33 s,   1.8 h)
 iter    54 lrate =  0.4000000000 LL =  -1.8014957423 nd =  0.0041209641, D =   0.16091E+00  0.16091E+00  (  3.30 s,   1.8 h)
 iter    55 lrate =  0.5000000000 LL =  -1.8006957801 nd =  0.0037708461, D =   0.15960E+00  0.15960E+00  (  3.32 s,   1.8 h)
 iter    56 lrate =  0.6000000000 LL =  -1.7998836981 nd =  0.0034050465, D =   0.16005E+00  0.16005E+00  (  3.30 s,   1.8 h)
 iter    57 lrate =  0.7000000000 LL =  -1.7991093783 nd =  0.0030674005, D =   0.16270E+00  0.16270E+00  (  4.05 s,   2.2 h)
 iter    58 lrate =  0.8000000000 LL =  -1.7984015284 nd =  0.0027876177, D =   0.16739E+00  0.16739E+00  (  3.31 s,   1.8 h)
 iter    59 lrate =  0.9000000000 LL =  -1.7977617692 nd =  0.0025864684, D =   0.17336E+00  0.17336E+00  (  3.34 s,   1.8 h)
 iter    60 lrate =  1.0000000000 LL =  -1.7971665973 nd =  0.0024625010, D =   0.17939E+00  0.17939E+00  (  3.21 s,   1.7 h)
 iter    61 lrate =  1.0000000000 LL =  -1.7966301010 nd =  0.0024028493, D =   0.18369E+00  0.18369E+00  (  3.60 s,   1.9 h)
 iter    62 lrate =  1.0000000000 LL =  -1.7961139248 nd =  0.0023623840, D =   0.18588E+00  0.18588E+00  (  3.38 s,   1.8 h)
 iter    63 lrate =  1.0000000000 LL =  -1.7956025495 nd =  0.0023152855, D =   0.18578E+00  0.18578E+00  (  3.38 s,   1.8 h)
 iter    64 lrate =  1.0000000000 LL =  -1.7950921247 nd =  0.0022577712, D =   0.18321E+00  0.18321E+00  (  3.38 s,   1.8 h)
 iter    65 lrate =  1.0000000000 LL =  -1.7945814793 nd =  0.0021959685, D =   0.17804E+00  0.17804E+00  (  3.36 s,   1.8 h)
 iter    66 lrate =  1.0000000000 LL =  -1.7940698135 nd =  0.0021363601, D =   0.17023E+00  0.17023E+00  (  3.30 s,   1.8 h)
 iter    67 lrate =  1.0000000000 LL =  -1.7935574530 nd =  0.0020895604, D =   0.15992E+00  0.15992E+00  (  3.38 s,   1.8 h)
 iter    68 lrate =  1.0000000000 LL =  -1.7930427122 nd =  0.0020534767, D =   0.14739E+00  0.14739E+00  (  3.36 s,   1.8 h)
 iter    69 lrate =  1.0000000000 LL =  -1.7925286911 nd =  0.0020164893, D =   0.13321E+00  0.13321E+00  (  3.33 s,   1.8 h)
 iter    70 lrate =  1.0000000000 LL =  -1.7920237861 nd =  0.0019794422, D =   0.11820E+00  0.11820E+00  (  3.38 s,   1.8 h)
 iter    71 lrate =  1.0000000000 LL =  -1.7915392538 nd =  0.0019409259, D =   0.10323E+00  0.10323E+00  (  3.35 s,   1.8 h)
 iter    72 lrate =  1.0000000000 LL =  -1.7910851235 nd =  0.0018985425, D =   0.88844E-01  0.88844E-01  (  3.33 s,   1.8 h)
 iter    73 lrate =  1.0000000000 LL =  -1.7906732722 nd =  0.0018530857, D =   0.75649E-01  0.75649E-01  (  3.24 s,   1.7 h)
 iter    74 lrate =  1.0000000000 LL =  -1.7903073098 nd =  0.0018056808, D =   0.64065E-01  0.64065E-01  (  3.19 s,   1.7 h)
 iter    75 lrate =  1.0000000000 LL =  -1.7899890317 nd =  0.0017576653, D =   0.54388E-01  0.54388E-01  (  3.41 s,   1.8 h)
 iter    76 lrate =  1.0000000000 LL =  -1.7897177493 nd =  0.0017161822, D =   0.46734E-01  0.46734E-01  (  4.09 s,   2.2 h)
 iter    77 lrate =  1.0000000000 LL =  -1.7894792390 nd =  0.0016792531, D =   0.41061E-01  0.41061E-01  (  3.39 s,   1.8 h)
 iter    78 lrate =  1.0000000000 LL =  -1.7892650071 nd =  0.0016603078, D =   0.37095E-01  0.37095E-01  (  3.38 s,   1.8 h)
 iter    79 lrate =  1.0000000000 LL =  -1.7890645695 nd =  0.0016462584, D =   0.34560E-01  0.34560E-01  (  3.28 s,   1.7 h)
 iter    80 lrate =  1.0000000000 LL =  -1.7888755092 nd =  0.0016404146, D =   0.33194E-01  0.33194E-01  (  3.31 s,   1.8 h)
 iter    81 lrate =  1.0000000000 LL =  -1.7886908577 nd =  0.0016392791, D =   0.32748E-01  0.32748E-01  (  3.49 s,   1.9 h)
 iter    82 lrate =  1.0000000000 LL =  -1.7885076838 nd =  0.0016364509, D =   0.33053E-01  0.33053E-01  (  3.24 s,   1.7 h)
 iter    83 lrate =  1.0000000000 LL =  -1.7883243814 nd =  0.0016300273, D =   0.33948E-01  0.33948E-01  (  3.31 s,   1.8 h)
 iter    84 lrate =  1.0000000000 LL =  -1.7881425254 nd =  0.0016194829, D =   0.35285E-01  0.35285E-01  (  3.38 s,   1.8 h)
 iter    85 lrate =  1.0000000000 LL =  -1.7879664175 nd =  0.0015998553, D =   0.36895E-01  0.36895E-01  (  3.34 s,   1.8 h)
 iter    86 lrate =  1.0000000000 LL =  -1.7877883174 nd =  0.0015676599, D =   0.38601E-01  0.38601E-01  (  3.29 s,   1.8 h)
 iter    87 lrate =  1.0000000000 LL =  -1.7876131302 nd =  0.0015208974, D =   0.40392E-01  0.40392E-01  (  3.33 s,   1.8 h)
 iter    88 lrate =  1.0000000000 LL =  -1.7874430019 nd =  0.0014590197, D =   0.42267E-01  0.42267E-01  (  3.37 s,   1.8 h)
 iter    89 lrate =  1.0000000000 LL =  -1.7872801576 nd =  0.0013921098, D =   0.44175E-01  0.44175E-01  (  3.37 s,   1.8 h)
 iter    90 lrate =  1.0000000000 LL =  -1.7871257733 nd =  0.0013342568, D =   0.46119E-01  0.46119E-01  (  3.32 s,   1.8 h)
 iter    91 lrate =  1.0000000000 LL =  -1.7869767488 nd =  0.0012935682, D =   0.48062E-01  0.48062E-01  (  3.25 s,   1.7 h)
